Title,DOI,year,Qualified,survey_duration_days,detection_window_days,detection_gap_days
"Status and ecology of forest ungulates in the Dja Faunal Reserve, Cameroon",10.1515/mammalia-2021-0175,2022,No,NA,NA,NA
Spatially explicit modeling of community occupancy using Markov Random Field models with imperfect observation: Mesocarnivores in Apostle Islands National Lakeshore,10.1016/j.ecolmodel.2021.109712,2021,Yes,1100,60,0
Use of site occupancy models for targeted monitoring of the cheetah,10.1111/jzo.12098,2014,Yes,14,14,0
Using remote cameras to measure seasonal molts,10.1002/ecs2.3084,2020,No,NA,NA,NA
A gentle introduction to camera-trap data analysis,10.1111/aje.12557,2018,No,NA,NA,NA
"Managing African Swine Fever: Assessing the Potential of Camera Traps in Monitoring Wild Boar Occupancy Trends in Infected and Non-infected Zones, Using Spatio-Temporal Statistical Models",10.3389/fvets.2021.726117,2021,Yes,NR,1,0
Habitat use and abundance of island-endemic white-tailed deer in Panama,10.3106/ms2019-0036,2020,No,NA,NA,NA
"Factors affecting the abundance of Peters's squirrel, <i>Sciurus oculatus</i>, in a population of Central Mexico",10.22201/ib.20078706e.2020.91.3064,2020,No,NA,NA,NA
Testing the efficacy of camera-trap sampling designs for monitoring giant pandas in a heterogeneous landscape,10.1007/s11356-021-16765-3,2022,Yes,300,15,0
Woody cover and pasture within the surrounding matrix drive puma<i> (Puma</i><i> concolor)</i> occupancy in agroecosystems of the Argentine Dry Chaco,10.1016/j.jnc.2023.126475,2023,Yes,30,5,0
Predictors of puma occupancy indicate prey vulnerability is more important than prey availability in a highly fragmented landscape,10.2981/wlb.00540,2020,Yes,1400,7,0
"Clarifying habitat niche width using broad-scale, hierarchical occupancy models: a case study with a recovering mesocarnivore",10.1111/jzo.12369,2016,Yes,70,7,0
Camera traps link population-level activity patterns with wildfire smoke events for mammals in Eastern Washington State,10.1186/s42408-023-00207-1,2023,Yes,123,1,0
Assessing site occupancy of Mohave ground squirrels: Implications for conservation,10.1002/jwmg.1011,2016,Yes,10,1,0
Effect of Lure on Detecting Mammals with Camera Traps,10.1002/wsb.1122,2020,Yes,28,7,0
Revealing kleptoparasitic and predatory tendencies in an African mammal community using camera traps: a comparison of spatiotemporal approaches,10.1111/oik.03403,2017,Yes,90,"1, 5, 10",0
Spatiotemporal distributions of mammals occurring in an agro-prairie ecosystem,10.1002/ecy.3945,2023,No,NA,NA,NA
American marten and fisher do not segregate in space and time during winter in a mixed-forest system,10.1002/ece3.5097,2019,Yes,56,14,0
Human density modulates spatial associations among tropical forest terrestrial mammal species,10.1111/gcb.16434,2022,Yes,30,6,0
Using camera traps to inform reintroduction success and recovery of the Northern Aplomado Falcon (Falco femoralis septentrionalis),10.1016/j.fooweb.2023.e00314,2023,No,NA,NA,NA
Camera trap and questionnaire dataset on ecosystem services provided by small carnivores in agro-ecosystems in South Africa,10.1016/j.dib.2018.03.071,2018,No,NA,NA,NA
Integral assessment of active and passive survey methods for large-scale monitoring of mammal occurrence in Mediterranean landscapes,10.1016/j.ecolind.2021.107553,2021,Yes,10,10,0
"Puma density, habitat use and conflict with humans in the Argentine Chaco",10.1016/j.jnc.2016.02.004,2016,Yes,58,8,0
Importance of riparian forest corridors for the ocelot in agricultural landscapes,10.1093/jmammal/gyy075,2018,No,NA,NA,NA
Local temperature and ecological similarity drive distributional dynamics of tropical mammals worldwide,10.1111/geb.12908,2019,Yes,30,6,0
Landscape drivers of mammal habitat use and richness in a protected area and its surrounding agricultural lands,10.1016/j.agee.2022.107989,2022,Yes,26,1,0
"Estimates of wildlife species richness, occupancy, and habitat preference in a residential landscape in New York State",10.1007/s11252-022-01318-4,2023,Yes,90,1,0
Habitat structure and the presence of large carnivores shapes the site use of an understudied small carnivore: caracal ecology in a miombo woodland,10.1007/s13364-022-00655-1,2023,Yes,150,15,0
"Camera trap data reveal the habitat associations, activity patterns and population density of Indian pangolin (<i>Manis crassicaudata</i>) in Maduru Oya National Park, Sri Lanka",10.32800/abc.2022.45.0225,2022,Yes,30,3,0
"Burrow characteristics and its importance in occupancy of burrow dwelling vertebrates in Semiarid area of Keoladeo National Park, Rajasthan, India",10.1016/j.jaridenv.2017.02.003,2017,No,NA,NA,NA
Cost-efficient effort allocation for camera-trap occupancy surveys of mammals,10.1016/j.biocon.2016.10.019,2016,No,NA,NA,NA
"Diversity and occupancy of small carnivores within oil palm plantations in central Sumatra, Indonesia",10.1007/s13364-015-0217-1,2015,Yes,175,10,0
Extending the conservation impact of great ape research: Flagship species sites facilitate biodiversity assessments and land preservation,10.1007/s10329-023-01080-x,2023,No,NA,NA,NA
Using camera trapping and hierarchical occupancy modelling to evaluate the spatial ecology of an African mammal community,10.1111/1365-2664.12650,2016,Yes,30,1,0
Daily activity patterns and habitat use of the lowland tapir (<i>Tapirus terrestris</i>) in the Atlantic Forest,10.1016/j.mambio.2014.06.003,2014,Yes,90,4,0
"Spatial Occupancy, Local Abundance and Activity Rhythm of Three Ground Dwelling Columbid Species in the Forests of Guadeloupe in Relation to Environmental Factors",10.3390/d14060480,2022,No,NA,NA,NA
Optimising camera trap surveys for the Carpentarian Pseudantechinus (<i>Pseudantechinus mimulus</i>) in northwest Queensland,10.1111/aec.13263,2023,Yes,21,NR,0
When management meets science: adaptive analysis for the optimization of the eradication of the Northern raccoon (<i>Procyon lotor</i>),10.1007/s10530-020-02313-6,2020,Yes,15,4,0
"Medium-to-large mammal diversity and status of forest antelopes in the Sapo National Park, Liberia",10.1111/aje.12990,2022,Yes,35,5,0
A Dynamic Occupancy Model for Interacting Species with Two Spatial Scales,10.1007/s13253-023-00533-6,2023,No,NA,NA,NA
Evaluating patterns and drivers of mammal space use and richness in the Angolan savannah woodlands of the Kavango-Zambezi Transfrontier Conservation Area,10.1111/aje.13223,2023,Yes,70,10,0
Increasing homogeneity of Mediterranean landscapes limits the co-occurrence of mesocarnivores in space and time,10.1007/s10980-023-01749-0,2023,Yes,35,5,0
Trialling camera traps to determine occupancy and breeding in burrowing seabirds,10.1002/rse2.235,2022,No,NA,NA,NA
Occurrence dynamics of mammals in protected tropical forests respond to human presence and activities,10.1038/s41559-023-02060-6,2023,Yes,35,7,0
A two-species occupancy model accommodating simultaneous spatial and interspecific dependence,10.1890/15-1193.1,2016,Yes,22,1,0
"Estimating species richness with camera traps: modeling the effects of delay period, deployment length, number of sites, and interference imagery",10.1002/wsb.1357,2022,No,NA,NA,NA
Can camera traps be used to differentiate species of North American flying squirrels?,10.1002/wsb.1323,2022,No,NA,NA,NA
"Tapirs in trouble: estimating Baird's tapir densities in the Sierra Madre de Chiapas, Mexico",10.1017/S0030605320001076,2022,Yes,170,15,0
Facilitation of a free-roaming apex predator in working lands: evaluating factors that influence leopard spatial dynamics and prey availability in a South African biodiversity hotspot,10.7717/peerj.14575,2023,Yes,140,"5, 11",0
A multi-state occupancy model to non-invasively monitor visible signs of wildlife health with camera traps that accounts for image quality,10.1111/1365-2656.13515,2021,Yes,28,7,0
Occupancy models reveal potential of conservation prioritization for Central American jaguars,10.1111/acv.12772,2022,Yes,200,30,0
"Estimating population status and site occupancy of saltwater crocodiles <i>Crocodylus porosus</i> in the Ayeyarwady delta, Myanmar: Inferences from spatial modeling techniques",10.1016/j.gecco.2020.e01206,2020,No,NA,NA,NA
"Habitat associations of the Sunda stink-badger <i>Mydaus javanensis</i> in three forest reserves in Sabah, Malaysian Borneo",10.1016/j.mambio.2017.11.010,2018,Yes,60,5,0
Multi-species occupancy modelling of a carnivore guild in wildlife management areas in the Kalahari,10.1016/j.biocon.2018.01.033,2018,No,NA,NA,NA
Relative abundance and activity patterns explain method-related differences in mammalian species richness estimates,10.1093/jmammal/gyy175,2019,Yes,114,14,0
Camera trap placement and the potential for bias due to trails and other features,10.1371/journal.pone.0186679,2017,Yes,24,2,0
The <i>Mostela</i>: an adjusted camera trapping device as a promising non-invasive tool to study and monitor small mustelids,10.1007/s13364-020-00513-y,2020,Yes,21,1,0
Applying camera traps to detect and monitor introduced mammals on oceanic islands,10.1017/S0030605319001364,2021,Yes,8,1,0
Habitat use and spatio-temporal interactions of mule and white-tailed deer in an area of sympatry in NE Washington,10.1002/ecs2.3813,2021,Yes,20,5,0
"Density, occupancy, and activity pattern of two sympatric deer (<i>Mazama</i>) in the Atlantic Forest, Brazil",10.1093/jmammal/gyv132,2015,Yes,400,5,5
Estimating occurrence and detectability of a carnivore community in eastern Botswana using baited camera traps,10.3957/056.047.0032,2017,Yes,30,1,0
"Camera trapping mammals in the scrubland's of the Cape Floristic Kingdom-the importance of effort, spacing and trap placement",10.1007/s10531-017-1448-z,2018,No,NA,NA,NA
Rewilding in Southeast Asia: Singapore as a case study,10.1111/csp2.12899,2023,No,NA,NA,NA
Do occupancy or detection rates from camera traps reflect deer density?,10.1093/jmammal/gyx128,2017,Yes,21,1,0
SNAPSHOT USA 2020: A second coordinated national camera trap survey of the United States during the COVID-19 pandemic,10.1002/ecy.3775,2022,No,NA,NA,NA
Detecting tropical wildlife declines through camera-trap monitoring: an evaluation of the Tropical Ecology Assessment and Monitoring protocol,10.1017/S0030605318000546,2019,No,NA,NA,NA
Elevated potential for intraspecific competition in territorial carnivores occupying fragmented landscapes,10.1016/j.biocon.2018.08.017,2018,Yes,28,14,1
On the right track? Comparing concurrent spoor and camera-trap surveys in Botswana,10.3957/056.047.0128,2017,Yes,5,1,0
Unveiling a wildlife haven: occupancy and activity patterns of mammals at a Tibetan sacred mountain,10.1007/s10344-018-1213-y,2018,Yes,180,7,0
Optimal sampling design and the accuracy of occupancy models,10.1111/biom.13203,2020,Yes,35,1,0
Effect of humans and pumas on the temporal activity of ocelots in protected areas of Atlantic Forest,10.1016/j.mambio.2018.04.009,2018,No,NA,NA,NA
"Varying degrees of spatio-temporal partitioning among large carnivores in a fenced reserve, South Africa",10.1071/WR21045,2022,Yes,21,5,0
The conservation value of forest fragments in the increasingly agrarian landscape of Sumatra,10.1017/S0376892919000195,2019,No,NA,NA,NA
"On the high trail: examining determinants of site use by the Endangered snow leopard Panthera uncia in Qilianshan, China",10.1017/S0030605315001027,2016,Yes,90,5,0
Vulnerability of mammal communities to the combined impacts of anthropic land-use and climate change in the Himalayan conservation landscape of Bhutan,10.1016/j.ecolind.2020.107085,2021,Yes,90,1,0
"Effects of human impacts on habitat use, activity patterns and ecological relationships among medium and small felids of the Atlantic Forest",10.1371/journal.pone.0200806,2018,Yes,50,9,0
"Spatial and temporal analysis of the structure of the community of medium and large body sized mammals in the Biosphere Reserve El Ocote, southern Mexico",10.22201/ib.20078706e.2019.90.2731,2019,No,NA,NA,NA
Evaluating detection and occupancy probabilities of eastern spotted skunks,10.1002/jwmg.21684,2019,Yes,84,14,0
Activity patterns of sympatric living exotic and endemic carnivores (the fosa) in Western Madagascar's deciduous forests,10.1111/jzo.12630,2019,No,NA,NA,NA
Wildlife trail or systematic? Camera trap placement has little effect on estimates of mammal diversity in a tropical forest in Gabon,10.1002/rse2.191,2021,Yes,30,7,0
Forest matters: Use of water reservoirs by mammal communities in cattle ranch landscapes in the Paraguayan Dry Chaco,10.1016/j.gecco.2020.e01103,2020,Yes,240,5,0
Managed forest as habitat for gray brocket deer (<i>Mazama gouazoubira</i>) in agricultural landscapes of southeastern Brazil,10.1093/jmammal/gyx099,2017,Yes,30,5,0
"Influence of vegetation physiognomy, elevation and fire frequency on medium and large mammals in two protected areas of the Espinhaco Range",10.3897/zoologia.34.e11921,2017,No,NA,NA,NA
Improving wildlife tracking using 3D information,10.1016/j.ecoinf.2021.101535,2022,No,NA,NA,NA
Novel predators and anthropogenic disturbance influence spatio-temporal distribution of forest antelope species,10.1016/j.beproc.2018.12.005,2019,Yes,21,1,0
"Data from camera surveys identifying co-occurrence and occupancy linkages between fishers (<i>Pekania pennanti</i>), rodent prey, mesocarnivores, and larger predators in mixed-conifer forests",10.1016/j.dib.2016.01.032,2016,Yes,40,8,0
"Environmental correlates of richness, community composition, and functional traits of terrestrial birds and mammals in a fragmented tropical landscape",10.1007/s10980-020-01123-4,2020,Yes,15,15,0
"Terrestrial mammal community richness and temporal overlap between tigers and other carnivores in Bukit Barisan Selatan National Park, Sumatra",10.32800/abc.2020.43.0097,2020,No,NA,NA,NA
The method matters. A comparative study of biologging and camera traps as data sources with which to describe wildlife habitat selection,10.1016/j.scitotenv.2023.166053,2023,Yes,45,5,0
Effects of habitat alteration and disturbance by humans and exotic species on fosa <i>Cryptoprocta ferox</i> occupancy in Madagascar's deciduous forests,10.1017/S003060531800100X,2020,Yes,60,5,0
Strategic grassland conservation for swift foxes in multi-use landscapes,10.1016/j.biocon.2022.109864,2023,Yes,28,1,0
Wild pig (<i>Sus scrofa</i> L.) occupancy patterns in the Brazilian Atlantic forest,10.1590/1676-0611-BN-2018-0719,2019,Yes,8,NR,NR
Ecology and conservation of the endemic Bawean warty pig <i>Sus verrucosus blouchi</i> and Bawean deer <i>Axis kuhlii</i>,10.1017/S0030605318000996,2020,Yes,390,NR,NR
"Examining diversity of terrestrial mammal communities across forest reserves in Sabah, Borneo",10.1007/s10531-022-02423-8,2022,Yes,136,NR,NR
"The impacts of COVID-19 lockdown on wildlife in Deccan Plateau, India",10.1016/j.scitotenv.2022.153268,2022,Yes,22,1,0
Efficacy of attractants for detecting eastern spotted skunks: an experimental approach,10.2981/wlb.00880,2021,No,NA,NA,NA
Long-term use of non-invasive sampling methods: does successful sampling of brown bears by hair snares and camera traps change over time?,10.1071/WR19156,2020,No,NA,NA,NA
Giant pangolin and white-bellied pangolin observations from a World Heritage site,10.1515/mammalia-2021-0173,2023,No,NA,NA,NA
"Assessing Distribution Patterns and the Relative Abundance of Reintroduced Large Herbivores in the Limpopo National Park, Mozambique",10.3390/d13100456,2021,No,NA,NA,NA
Robust ecological analysis of camera trap data labelled by a machine learning model,10.1111/2041-210X.13576,2021,Yes,NR,5,0
